,A,C,E,S
서울특별시 강남구,26.0,40.0,53.0,61.0
경기도 수원시,30.0,27.0,39.0,18.0
서울특별시 서초구,10.0,23.0,27.0,37.0
경기도 성남시,8.0,23.0,48.0,33.0
경기도 용인시,14.0,22.0,21.0,17.0
서울특별시 송파구,28.0,22.0,30.0,18.0
충청북도 청주시,28.0,20.0,14.0,9.0
제주특별자치도 제주시,10.0,19.0,8.0,6.0
경기도 고양시,15.0,19.0,49.0,20.0
서울특별시 광진구,8.0,17.0,19.0,11.0
대전광역시 서구,15.0,15.0,9.0,14.0
서울특별시 중구,14.0,15.0,35.0,39.0
경상남도 창원시,49.0,15.0,21.0,11.0
경기도 화성시,9.0,15.0,8.0,5.0
부산광역시 해운대구,21.0,14.0,17.0,21.0
서울특별시 종로구,7.0,14.0,29.0,33.0
광주광역시 서구,18.0,14.0,2.0,9.0
경기도 부천시,13.0,13.0,44.0,11.0
서울특별시 강동구,5.0,13.0,20.0,9.0
대전광역시 유성구,12.0,13.0,9.0,8.0
경상북도 구미시,13.0,12.0,3.0,7.0
인천광역시 남동구,4.0,12.0,23.0,6.0
대구광역시 달서구,23.0,12.0,4.0,8.0
충청남도 천안시,23.0,11.0,10.0,7.0
서울특별시 노원구,3.0,11.0,31.0,7.0
경상남도 김해시,29.0,11.0,12.0,6.0
경상북도 경주시,10.0,11.0,10.0,6.0
강원도 원주시,6.0,11.0,5.0,2.0
서울특별시 강서구,18.0,11.0,29.0,8.0
서울특별시 서대문구,5.0,10.0,16.0,17.0
서울특별시 영등포구,23.0,10.0,33.0,27.0
경상남도 진주시,17.0,10.0,14.0,6.0
경기도 안양시,16.0,9.0,22.0,9.0
서울특별시 관악구,10.0,9.0,19.0,6.0
전라북도 전주시,26.0,9.0,45.0,6.0
인천광역시 연수구,7.0,9.0,16.0,4.0
광주광역시 북구,16.0,9.0,4.0,5.0
울산광역시 남구,16.0,9.0,10.0,7.0
서울특별시 동대문구,7.0,9.0,22.0,7.0
대구광역시 수성구,17.0,8.0,8.0,11.0
대전광역시 중구,6.0,8.0,2.0,4.0
대전광역시 동구,7.0,8.0,3.0,4.0
광주광역시 광산구,11.0,8.0,4.0,8.0
서울특별시 마포구,18.0,8.0,30.0,21.0
경상북도 포항시,18.0,8.0,6.0,10.0
경기도 남양주시,0.0,8.0,26.0,3.0
전라남도 여수시,10.0,8.0,1.0,4.0
인천광역시 서구,0.0,8.0,19.0,2.0
서울특별시 동작구,7.0,7.0,20.0,3.0
경기도 광명시,4.0,7.0,6.0,3.0
전라북도 군산시,10.0,7.0,7.0,3.0
서울특별시 구로구,7.0,7.0,26.0,8.0
경기도 안산시,15.0,7.0,21.0,10.0
강원도 춘천시,5.0,7.0,15.0,4.0
대구광역시 중구,8.0,7.0,5.0,8.0
인천광역시 중구,2.0,7.0,9.0,6.0
전라북도 익산시,7.0,6.0,8.0,1.0
대구광역시 동구,16.0,6.0,4.0,5.0
대구광역시 북구,12.0,6.0,5.0,5.0
경기도 구리시,9.0,6.0,12.0,2.0
부산광역시 남구,6.0,6.0,10.0,5.0
경기도 평택시,10.0,6.0,4.0,5.0
부산광역시 부산진구,28.0,6.0,29.0,13.0
서울특별시 중랑구,3.0,6.0,15.0,6.0
서울특별시 용산구,4.0,6.0,9.0,12.0
서울특별시 양천구,4.0,6.0,19.0,8.0
경상남도 거제시,9.0,6.0,2.0,4.0
인천광역시 남구,1.0,5.0,9.0,5.0
인천광역시 부평구,1.0,5.0,26.0,11.0
인천광역시 계양구,5.0,5.0,19.0,2.0
울산광역시 북구,9.0,5.0,5.0,1.0
서울특별시 성북구,1.0,5.0,31.0,8.0
충청남도 아산시,10.0,5.0,3.0,1.0
강원도 강릉시,6.0,5.0,2.0,2.0
부산광역시 동래구,10.0,5.0,15.0,6.0
충청북도 충주시,7.0,5.0,2.0,2.0
경기도 파주시,8.0,5.0,12.0,3.0
경기도 포천시,0.0,5.0,5.0,1.0
경기도 김포시,1.0,4.0,10.0,7.0
경기도 의정부시,2.0,4.0,25.0,4.0
전라남도 목포시,13.0,4.0,4.0,2.0
울산광역시 중구,10.0,4.0,5.0,2.0
부산광역시 사하구,7.0,4.0,17.0,5.0
부산광역시 서구,3.0,4.0,4.0,3.0
경상남도 양산시,10.0,4.0,8.0,3.0
세종특별자치시 세종시,2.0,4.0,5.0,6.0
충청남도 공주시,6.0,4.0,2.0,1.0
경기도 안성시,1.0,4.0,4.0,1.0
서울특별시 은평구,6.0,4.0,20.0,5.0
경기도 여주시,5.0,4.0,2.0,3.0
서울특별시 금천구,6.0,4.0,13.0,6.0
부산광역시 금정구,6.0,4.0,12.0,5.0
경상남도 통영시,4.0,4.0,2.0,1.0
경기도 이천시,3.0,4.0,4.0,4.0
충청남도 당진시,2.0,4.0,3.0,1.0
광주광역시 남구,5.0,4.0,0.0,3.0
충청남도 서산시,3.0,4.0,1.0,1.0
경상북도 성주군,0.0,4.0,1.0,0.0
충청북도 영동군,0.0,4.0,0.0,0.0
부산광역시 수영구,9.0,3.0,10.0,4.0
경상북도 칠곡군,8.0,3.0,3.0,0.0
서울특별시 성동구,8.0,3.0,17.0,5.0
서울특별시 도봉구,3.0,3.0,16.0,1.0
충청북도 음성군,2.0,3.0,1.0,0.0
경기도 양주시,2.0,3.0,4.0,1.0
광주광역시 동구,11.0,3.0,1.0,6.0
서울특별시 강북구,7.0,3.0,16.0,4.0
경기도 시흥시,7.0,3.0,13.0,1.0
경상북도 안동시,6.0,3.0,4.0,2.0
대전광역시 대덕구,4.0,3.0,1.0,1.0
전라남도 순천시,9.0,3.0,0.0,1.0
경상북도 문경시,2.0,3.0,1.0,1.0
제주특별자치도 서귀포시,9.0,3.0,3.0,6.0
강원도 평창군,3.0,3.0,0.0,1.0
경상북도 김천시,6.0,3.0,3.0,0.0
충청북도 단양군,2.0,3.0,0.0,0.0
충청남도 보령시,3.0,3.0,3.0,0.0
울산광역시 울주군,9.0,3.0,2.0,1.0
전라남도 광양시,3.0,2.0,2.0,0.0
경기도 과천시,0.0,2.0,1.0,2.0
충청북도 옥천군,1.0,2.0,0.0,0.0
경기도 군포시,3.0,2.0,4.0,3.0
경기도 오산시,4.0,2.0,1.0,2.0
충청남도 홍성군,4.0,2.0,4.0,0.0
전라북도 남원시,2.0,2.0,2.0,0.0
경기도 동두천시,0.0,2.0,2.0,0.0
강원도 동해시,4.0,2.0,1.0,0.0
충청남도 논산시,4.0,2.0,1.0,1.0
울산광역시 동구,7.0,2.0,5.0,2.0
경기도 하남시,1.0,2.0,3.0,2.0
경상남도 사천시,3.0,2.0,1.0,1.0
경상남도 함안군,3.0,2.0,0.0,0.0
경상북도 경산시,12.0,2.0,3.0,7.0
부산광역시 기장군,9.0,2.0,6.0,3.0
부산광역시 사상구,17.0,2.0,11.0,1.0
부산광역시 연제구,11.0,2.0,13.0,3.0
부산광역시 강서구,1.0,2.0,3.0,2.0
대구광역시 남구,4.0,2.0,4.0,1.0
경상북도 상주시,1.0,1.0,0.0,0.0
충청남도 계룡시,1.0,1.0,0.0,0.0
전라남도 완도군,0.0,1.0,0.0,0.0
전라남도 장성군,0.0,1.0,0.0,0.0
전라남도 진도군,0.0,1.0,0.0,0.0
경기도 의왕시,1.0,1.0,5.0,0.0
전라북도 김제시,2.0,1.0,5.0,0.0
전라북도 무주군,0.0,1.0,0.0,0.0
전라북도 부안군,0.0,1.0,1.0,0.0
충청북도 진천군,1.0,1.0,1.0,0.0
강원도 양양군,0.0,1.0,0.0,0.0
충청남도 금산군,0.0,1.0,0.0,0.0
충청북도 괴산군,1.0,1.0,1.0,0.0
충청북도 증평군,0.0,1.0,0.0,0.0
대구광역시 서구,4.0,1.0,0.0,1.0
충청남도 부여군,2.0,1.0,0.0,0.0
충청북도 제천시,2.0,1.0,0.0,0.0
경상북도 영주시,2.0,1.0,4.0,0.0
강원도 양구군,0.0,1.0,1.0,0.0
충청남도 예산군,6.0,1.0,2.0,0.0
강원도 속초시,2.0,1.0,0.0,1.0
대구광역시 달성군,3.0,1.0,0.0,1.0
충청남도 서천군,0.0,1.0,2.0,0.0
전라남도 해남군,1.0,1.0,0.0,0.0
전라남도 무안군,1.0,1.0,0.0,1.0
인천광역시 옹진군,0.0,1.0,0.0,0.0
경상남도 거창군,2.0,1.0,1.0,0.0
경기도 연천군,0.0,1.0,1.0,0.0
경기도 양평군,0.0,1.0,1.0,0.0
경상남도 밀양시,2.0,1.0,1.0,0.0
부산광역시 중구,12.0,1.0,9.0,5.0
부산광역시 영도구,2.0,1.0,1.0,0.0
부산광역시 북구,5.0,1.0,12.0,2.0
경기도 광주시,4.0,1.0,3.0,0.0
경상남도 창녕군,0.0,1.0,0.0,0.0
경기도 가평군,4.0,1.0,4.0,0.0
경상북도 영천시,2.0,1.0,0.0,0.0
부산광역시 동구,10.0,1.0,8.0,4.0
전라남도 나주시,3.0,1.0,1.0,0.0
전라남도 구례군,0.0,1.0,0.0,0.0
강원도 홍천군,1.0,1.0,1.0,4.0
전라북도 순창군,1.0,0.0,0.0,0.0
전라남도 화순군,2.0,0.0,0.0,0.0
경상북도 울진군,4.0,0.0,0.0,0.0
경상남도 고성군,4.0,0.0,0.0,0.0
경상북도 영덕군,0.0,0.0,1.0,1.0
경상남도 남해군,1.0,0.0,1.0,0.0
전라남도 함평군,1.0,0.0,0.0,0.0
경상남도 산청군,4.0,0.0,0.0,0.0
경상남도 의령군,1.0,0.0,0.0,0.0
충청남도 태안군,1.0,0.0,0.0,0.0
강원도 고성군,0.0,0.0,0.0,1.0
경상북도 예천군,0.0,0.0,1.0,0.0
인천광역시 강화군,0.0,0.0,1.0,0.0
전라북도 완주군,4.0,0.0,5.0,0.0
경상북도 봉화군,0.0,0.0,1.0,0.0
강원도 철원군,0.0,0.0,2.0,0.0
전라남도 곡성군,3.0,0.0,0.0,0.0
경상북도 고령군,1.0,0.0,1.0,0.0
경상남도 하동군,1.0,0.0,0.0,0.0
인천광역시 동구,0.0,0.0,2.0,1.0
전라남도 영광군,2.0,0.0,0.0,0.0
강원도 횡성군,4.0,0.0,0.0,0.0
강원도 화천군,2.0,0.0,2.0,0.0
전라북도 정읍시,3.0,0.0,5.0,0.0
강원도 인제군,0.0,0.0,2.0,0.0
전라북도 임실군,0.0,0.0,1.0,0.0
강원도 정선군,2.0,0.0,0.0,0.0
경상남도 함양군,2.0,0.0,0.0,0.0
